#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0; 0
10.86; 0; 0
21.72; 0; 0
32.57; 0; 0
43.43; 0; 0
54.29; 0; 0
65.15; 0; 0
76.01; 0; 0
86.87; 0; 0
97.72; 0; 0
108.58; 0; 0
119.44; 0; 0
130.30; 0; 0
141.16; 0; 0
152.01; 0; 0
162.87; 0; 0
173.73; 0; 0
184.59; 0; 0
195.45; 0; 0
206.31; 0; 0
217.16; 0; 0
228.02; 0; 0
238.88; 0; 0
249.74; 0; 0
260.60; 0; 0
271.46; 0; 0
282.31; 0; 0
293.17; 0; 0
304.03; 0; 0
314.89; 0; 0
325.75; 0; 0
336.60; 0; 0
347.46; 0; 0
358.32; 0; 0
369.18; 0; 0
380.04; 0; 0
390.90; 0; 0
401.75; 0; 0
412.61; 0; 0
423.47; 0; 0
434.33; 0; 0
445.19; 0; 0
456.04; 0; 0
466.90; 0; 0
477.76; 0; 0
488.62; 0; 0
499.48; 0; 0
510.34; 0; 0
521.19; 0; 0
532.05; 0; 0
542.91; 0; 0
553.77; 0; 0
564.63; 0; 0
575.48; 0; 0
586.34; 0; 0
597.20; 0; 0
608.06; 0; 0
618.92; 0; 0
629.78; 0; 0
640.63; 0; 0
651.49; 0; 0
662.35; 0; 0
673.21; 0; 0
684.07; 0; 0
694.93; 0; 0
705.78; 0; 0
716.64; 0; 0
727.50; 0; 0
738.36; 0; 0
749.22; 0; 0
760.07; 0; 0
770.93; 0; 0
781.79; 0; 0
792.65; 0; 0
803.51; 0; 0
814.37; 0; 0
825.22; 0; 0
836.08; 0; 0
846.94; 0; 0
857.80; 0; 0
868.66; 0; 0
879.51; 0; 0
890.37; 0; 0
901.23; 0; 0
912.09; 0; 0
922.95; 0; 0
933.81; 0; 0
944.66; 0; 0
955.52; 0; 0
966.38; 0; 0
977.24; 0; 0
988.10; 0; 0
998.95; 0; 0
1009.81; 0; 0
1020.67; 0; 0
1031.53; 0; 0
1042.39; 0; 0
1053.25; 0; 0
1064.10; 0; 0
1074.96; 0; 0
1085.82; 0; 0
1096.68; 0; 0
1107.54; 0; 0
1118.40; 0; 0
1129.25; 0; 0
1140.11; 0; 0
1150.97; 0; 0
1161.83; 0; 0
1172.69; 0; 0
1183.54; 0; 0
1194.40; 0; 0
1205.26; 0; 0
1216.12; 0; 0
1226.98; 0; 0
1237.84; 0; 0
1248.69; 0; 0
1259.55; 0; 0
1270.41; 0; 0
1281.27; 0; 0
1292.13; 0; 0
1302.98; 0; 0
1313.84; 0; 0
1324.70; 0; 0
1335.56; 0; 0
1346.42; 0; 0
1357.28; 0; 0
1368.13; 0; 0
1378.99; 0; 0
1389.85; 0; 0
1400.71; 0; 0
1411.57; 0; 0
1422.43; 0; 0
1433.28; 0; 0
1444.14; 0; 0
1455.00; 0; 0
1465.86; 0; 0
1476.72; 0; 0
1487.57; 0; 0
1498.43; 0; 0
1509.29; 0; 0
1520.15; 0; 0
1531.01; 0; 0
1541.87; 0; 0
1552.72; 0; 0
1563.58; 0; 0
1574.44; 0; 0
1585.30; 0; 0
1596.16; 0; 0
1607.01; 0; 0
1617.87; 0; 0
1628.73; 0; 0
1639.59; 0; 0
1650.45; 0; 0
1661.31; 0; 0
1672.16; 0; 0
1683.02; 0; 0
1693.88; 0; 0
1704.74; 0; 0
1715.60; 0; 0
1726.45; 0; 0
1737.31; 0; 0
1748.17; 0; 0
1759.03; 0; 0
1769.89; 0; 0
1780.75; 0; 0
1791.60; 0; 0
1802.46; 0; 0
1813.32; 0; 0
1824.18; 0; 0
1835.04; 0; 0
1845.90; 0; 0
1856.75; 0; 0
1867.61; 0; 0
1878.47; 0; 0
1889.33; 0; 0
1900.19; 0; 0
1911.04; 0; 0
1921.90; 0; 0
1932.76; 0; 0
1943.62; 0; 0
1954.48; 0; 0
1965.34; 0; 0
1976.19; 0; 0
1987.05; 0; 0
1997.91; 0; 0
2008.77; 0; 0
2019.63; 0; 0
2030.48; 0; 0
2041.34; 0; 0
2052.20; 0; 0
2063.06; 0; 0
2073.92; 0; 0
2084.78; 0; 0
2095.63; 0; 0
2106.49; 0; 0
2117.35; 0; 0
2128.21; 0; 0
2139.07; 0; 0
2149.92; 0; 0
2160.78; 0; 0
2171.64; 0; 0
2182.50; 0; 0
2193.36; 0; 0
2204.22; 0; 0
2215.07; 0; 0
2225.93; 0; 0
2236.79; 0; 0
2247.65; 0; 0
2258.51; 0; 0
2269.37; 0; 0
2280.22; 0; 0
2291.08; 0; 0
2301.94; 0; 0
2312.80; 0; 0
2323.66; 0; 0
2334.51; 0; 0
2345.37; 0; 0
2356.23; 0; 0
2367.09; 0; 0
2377.95; 0; 0
2388.81; 0; 0
2399.66; 0; 0
2410.52; 0; 0
2421.38; 0; 0
2432.24; 0; 0
2443.10; 0; 0
2453.95; 0; 0
2464.81; 0; 0
2475.67; 0; 0
2486.53; 0; 0
2497.39; 0; 0
2508.25; 0; 0
2519.10; 0; 0
2529.96; 0; 0
2540.82; 0; 0
2551.68; 0; 0
2562.54; 0; 0
2573.39; 0; 0
2584.25; 0; 0
2595.11; 0; 0
2605.97; 0; 0
2616.83; 0; 0
2627.69; 0; 0
2638.54; 0; 0
2649.40; 0; 0
2660.26; 0; 0
2671.12; 0; 0
2681.98; 0; 0
2692.84; 0; 0
2703.69; 0; 0
2714.55; 0; 0
2725.41; 0; 0
2736.27; 0; 0
2747.13; 0; 0
2757.98; 0; 0
2768.84; 0; 0
2779.70; 0; 0
2790.56; 0; 0
2801.42; 0; 0
2812.28; 0; 0
2823.13; 0; 0
2833.99; 0; 0
2844.85; 0; 0
2855.71; 0; 0
2866.57; 0; 0
2877.42; 0; 0
2888.28; 0; 0
2899.14; 0; 0
2910.00; 0; 0
2920.86; 0; 0
2931.72; 0; 0
2942.57; 0; 0
2953.43; 0; 0
2964.29; 0; 0
2975.15; 0; 0
2986.01; 0; 0
2996.86; 0; 0
3007.72; 0; 0
3018.58; 0; 0
3029.44; 0; 0
3040.30; 0; 0
3051.16; 0; 0
3062.01; 0; 0
3072.87; 0; 0
3083.73; 0; 0
3094.59; 0; 0
3105.45; 0; 0
3116.31; 0; 0
3127.16; 0; 0
3138.02; 0; 0
3148.88; 0; 0
3159.74; 0; 0
3170.60; 0; 0
3181.45; 0; 0
3192.31; 0; 0
3203.17; 0; 0
3214.03; 0; 0
3224.89; 0; 0
3235.75; 0; 0
3246.60; 0; 0
3257.46; 0; 0
3268.32; 0; 0
3279.18; 0; 0
3290.04; 0; 0
3300.89; 0; 0
3311.75; 0; 0
3322.61; 0; 0
3333.47; 0; 0
3344.33; 0; 0
3355.19; 0; 0
3366.04; 0; 0
3376.90; 0; 0
3387.76; 0; 0
3398.62; 0; 0
3409.48; 0; 0
3420.34; 0; 0
3431.19; 0; 0
3442.05; 0; 0
3452.91; 0; 0
3463.77; 0; 0
3474.63; 0; 0
3485.48; 0; 0
3496.34; 0; 0
3507.20; 0; 0
3518.06; 0; 0
3528.92; 0; 0
3539.78; 0; 0
3550.63; 0; 0
3561.49; 0; 0
3572.35; 0; 0
3583.21; 0; 0
3594.07; 0; 0
3604.92; 0; 0
3615.78; 0; 0
3626.64; 0; 0
3637.50; 0; 0
3648.36; 0; 0
3659.22; 0; 0
3670.07; 0; 0
3680.93; 0; 0
3691.79; 0; 0
3702.65; 0; 0
3713.51; 0; 0
3724.36; 0; 0
3735.22; 0; 0
3746.08; 0; 0
3756.94; 0; 0
3767.80; 0; 0
3778.66; 0; 0
3789.51; 0; 0
3800.37; 0; 0
3811.23; 0; 0
3822.09; 0; 0
3832.95; 0; 0
3843.81; 0; 0
3854.66; 0; 0
3865.52; 0; 0
3876.38; 0; 0
3887.24; 0; 0
3898.10; 0; 0
3908.95; 0; 0
3919.81; 0; 0
3930.67; 0; 0
3941.53; 0; 0
3952.39; 0; 0
3963.25; 0; 0
3974.10; 0; 0
3984.96; 0; 0
3995.82; 0; 0
4006.68; 0; 0
4017.54; 0; 0
4028.39; 0; 0
4039.25; 0; 0
4050.11; 0; 0
4060.97; 0; 0
4071.83; 0; 0
4082.69; 0; 0
4093.54; 0; 0
4104.40; 0; 0
4115.26; 0; 0
4126.12; 0; 0
4136.98; 0; 0
4147.83; 0; 0
4158.69; 0; 0
4169.55; 0; 0
4180.41; 0; 0
4191.27; 0; 0
4202.13; 0; 0
4212.98; 0; 0
4223.84; 0; 0
4234.70; 0; 0
4245.56; 0; 0
4256.42; 0; 0
4267.28; 0; 0
4278.13; 0; 0
4288.99; 0; 0
4299.85; 0; 0
4310.71; 0; 0
4321.57; 0; 0
4332.42; 0; 0
4343.28; 0; 0
4354.14; 0; 0
4365.00; 0; 0
4375.86; 0; 0
4386.72; 0; 0
4397.57; 0; 0
4408.43; 0; 0
4419.29; 0; 0
4430.15; 0; 0
4441.01; 0; 0
4451.86; 0; 0
4462.72; 0; 0
4473.58; 0; 0
4484.44; 0; 0
4495.30; 0; 0
4506.16; 0; 0
4517.01; 0; 0
4527.87; 0; 0
4538.73; 0; 0
4549.59; 0; 0
4560.45; 0; 0
4571.30; 0; 0
4582.16; 0; 0
4593.02; 0; 0
4603.88; 0; 0
4614.74; 0; 0
4625.60; 0; 0
4636.45; 0; 0
4647.31; 0; 0
4658.17; 0; 0
4669.03; 0; 0
4679.89; 0; 0
4690.75; 0; 0
4701.60; 0; 0
4712.46; 0; 0
4723.32; 0; 0
4734.18; 0; 0
4745.04; 0; 0
4755.89; 0; 0
4766.75; 0; 0
4777.61; 0; 0
4788.47; 0; 0
4799.33; 0; 0
4810.19; 0; 0
4821.04; 0; 0
4831.90; 0; 0
4842.76; 0; 0
4853.62; 0; 0
4864.48; 0; 0
4875.33; 0; 0
4886.19; 0; 0
4897.05; 0; 0
4907.91; 0; 0
4918.77; 0; 0
4929.63; 0; 0
4940.48; 0; 0
4951.34; 0; 0
4962.20; 0; 0
4973.06; 0; 0
4983.92; 0; 0
